gene	process	chr	function	ENSG	gene-start	gene-end	url	notes
C2orf56	Electron transport chain	2	C2orf56: NDUFAF7 methylates arginine 85 in the NDUFS2 subunit of human complex I	ENSG00000003509	37231631	37253403	http://www.ncbi.nlm.nih.gov/gene/55471	Also known as NDUFAF7
NUBPL	Electron transport chain	14	NUBPL: Possible role in the delivery of one or more Fe/S clusters to complex I subunits	ENSG00000151413	31489956	31861224	http://www.ncbi.nlm.nih.gov/gene/80224	
SCO1	Electron transport chain	17	SCO1: Complex IV assembly factor, Incorporation of copper atoms in the catalytic sites of the nascent complex	ENSG00000133028	10672474	10698375	http://www.ncbi.nlm.nih.gov/gene/6341	
SCO2	Electron transport chain	22	SCO2: Complex IV assembly factor, involved in the biogenesis of cytochrome c oxidase subunit II	ENSG00000130489	50523568	50526439	http://www.ncbi.nlm.nih.gov/gene/9997	
SDHAF1	Electron transport chain	19	SDHAF1: Essential for complex II assembly	ENSG00000205138	35995199	35996315	http://www.ncbi.nlm.nih.gov/gene/644096	
SDHAF2	Electron transport chain	11	SDHAF2: Required for flavination of a succinate dehydrogenase complex	ENSG00000167985	61430042	61447529	http://www.ncbi.nlm.nih.gov/gene/54949	
SURF1	Electron transport chain	9	SURF1: Complex IV assembly factor, involved in the biogenesis of the cytochrome c oxidase complex	ENSG00000148290	133351755	133356676	http://www.ncbi.nlm.nih.gov/gene/6834	
TMEM126B	Electron transport chain	11	TMEM126B: Component of the mitochondrial complex I assembly complex	ENSG00000171204	85628573	85636539	http://www.ncbi.nlm.nih.gov/gene/55863	
UQCC	Electron transport chain	20	UQCC: Complex III assembly factor, ubiquinol-cytochrome c reductase complex assembly factor 1	ENSG00000101019	35302566	35412141	http://www.ncbi.nlm.nih.gov/gene/55245	Also known as UQCC1
MNF1	Electron transport chain	6	MNF1: Complex III assembly factor, ubiquinol-cytochrome c reductase complex assembly factor 2	ENSG00000137288	33694293	33711727	http://www.ncbi.nlm.nih.gov/gene/84300	Also known as UQCC2
TTC19	Electron transport chain	17	TTC19: Complex III assembly factor	ENSG00000011295	15999380	16045015	http://www.ncbi.nlm.nih.gov/gene/54902	
HCCS	Electron transport chain	X	HCCS: Complex III assembly factor, covalently links a heme group to the apoprotein of cytochrome c	ENSG00000004961	11111301	11123078	http://www.ncbi.nlm.nih.gov/gene/3052	
PTCD2	Electron transport chain	5	PTCD2: Complex III assembly factor, maturation and stabilization of cytochrome b mRNA	ENSG00000049883	72320367	72368395	http://www.ncbi.nlm.nih.gov/gene/79810	
TMEM70	Electron transport chain	8	TMEM70: Complex V assembly factor, may play a role in biogenesis of mitochondrial ATP synthase	ENSG00000175606	73972437	73982783	http://www.ncbi.nlm.nih.gov/gene/54968	
FXN	Fe-S cluster biosynthesis	9	FXN: Functions in regulating mitochondrial iron transport and respiration	ENSG00000165060	69035259	69100178	http://www.ncbi.nlm.nih.gov/gene/2395	
ISCU	Fe-S cluster biosynthesis	12	ISCU: Iron sulphur cluster assembly enzyme, Fe-S cluster intermediate is formed on it	ENSG00000136003	108562582	108569384	http://www.ncbi.nlm.nih.gov/gene/23479	
NFS1	Fe-S cluster biosynthesis	20	NFS1: The sulfide for Fe-S clusters originates from cysteine via the action of NFS1	ENSG00000244005	35668055	35699359	http://www.ncbi.nlm.nih.gov/gene/9054	
LYRM4	Fe-S cluster biosynthesis	6	LYRM4: Assembles with NFS1	ENSG00000214113	5102593	5260939	http://www.ncbi.nlm.nih.gov/gene/57128	
SLC25A37	Fe-S cluster biosynthesis	8	SLC25A37: Functions as an essential iron importer	ENSG00000147454	23528805	23575463	http://www.ncbi.nlm.nih.gov/gene/51312	
SLC25A28	Fe-S cluster biosynthesis	10	SLC25A28: Mitochondrial iron transporter	ENSG00000155287	99610522	99620609	http://www.ncbi.nlm.nih.gov/gene/81894	
FDXR	Fe-S cluster biosynthesis	17	FDXR: Provide reducing equivalents in an electron transfer chain contribute to iron-sulfur cluster biogenesis	ENSG00000161513	74862497	74873031	http://www.ncbi.nlm.nih.gov/gene/2232	
FDX1	Fe-S cluster biosynthesis	11	FDX1: Small iron-sulfur protein, transfers electrons from NADPH to mitochondrial cytochrome P450	ENSG00000137714	110429883	110464881	http://www.ncbi.nlm.nih.gov/gene/2230	
FDX1L	Fe-S cluster biosynthesis	19	FDX1L: Transfers electrons from NADPH to mitochondrial cytochrome P450	ENSG00000267673	10310045	10316015	http://www.ncbi.nlm.nih.gov/gene/112812	
HSCB	Fe-S cluster biosynthesis	22	HSCB: Mitochondrial iron-sulfur cluster co-chaperone	ENSG00000100209	28742031	28757515	http://www.ncbi.nlm.nih.gov/gene/150274	
GLRX5	Fe-S cluster biosynthesis	14	GLRX5: Fe-S cluster transfer protein directly to the apoprotein	ENSG00000182512	95533503	95544724	http://www.ncbi.nlm.nih.gov/gene/51218	
NFU1	Fe-S cluster biosynthesis	2	NFU1: Protein assembles and transfers 4Fe-4S clusters to target apoproteins	ENSG00000169599	69395750	69437628	http://www.ncbi.nlm.nih.gov/gene/27247	
BOLA3	Fe-S cluster biosynthesis	2	BOLA3: Rrole in the biogenesis of iron-sulfur clusters	ENSG00000163170	74135398	74147994	http://www.ncbi.nlm.nih.gov/gene/388962	
FTMT	Fe-S cluster biosynthesis	5	FTMT: Shows ferroxidase activity and binds iron	ENSG00000181867	121851955	121852833	http://www.ncbi.nlm.nih.gov/gene/94033	
ABCB7	Fe-S cluster biosynthesis	X	ABCB7: Exports an sulphur product (X) from the mitochondrial iron sulphor cluster system to cytosol	ENSG00000131269	75053172	75156732	http://www.ncbi.nlm.nih.gov/gene/22	
NUBP2	Fe-S cluster biosynthesis	16	NUBP2: Required for the assembly of cyotosolic iron-sulfur proteins	ENSG00000095906	1782901	1789191	http://www.ncbi.nlm.nih.gov/gene/10101	
NUBP1	Fe-S cluster biosynthesis	16	NUBP1: Essential for both cytosolic iron-sulfur protein assembly and iron homeostasis	ENSG00000103274	10743786	10769351	http://www.ncbi.nlm.nih.gov/gene/4682	
CIAPIN1	Fe-S cluster biosynthesis	16	CIAPIN1: Facilitates NUBP1 and NUBP2 assembly	ENSG00000005194	57428169	57447528	http://www.ncbi.nlm.nih.gov/gene/57019	
GFER	Fe-S cluster biosynthesis	16	GFER: Facilitates ABCB7 and essential for assembly of cytosolic Fe–S proteins	ENSG00000127554	1984207	1987749	http://www.ncbi.nlm.nih.gov/gene/2671	
ISCA1	Fe-S cluster biosynthesis	9	ISCA1: Involved in the biogenesis and assembly of iron-sulfur clusters	ENSG00000135070	86264546	86282538	http://www.ncbi.nlm.nih.gov/gene/81689	
ISCA2	Fe-S cluster biosynthesis	14	ISCA2: Involved in the maturation of mitochondrial iron-sulfur proteins	ENSG00000165898	74493720	74497106	http://www.ncbi.nlm.nih.gov/gene/122961	
IBA57	Fe-S cluster biosynthesis	1	IBA57: Involved in the maturation of mitochondrial iron-sulfur proteins	ENSG00000181873	228165815	228182257	http://www.ncbi.nlm.nih.gov/gene/200205	
CIAO1	Fe-S cluster biosynthesis	2	CIAO1: Cytosolic Fe-S cluster biogenesis and maturation	ENSG00000144021	96266132	96273349	http://www.ncbi.nlm.nih.gov/gene/9391	
FAM96A	Fe-S cluster biosynthesis	15	FAM96A: Components of the cytosolic Fe/S protein assembly (CIA) machinery	ENSG00000166797	64072559	64094018	http://www.ncbi.nlm.nih.gov/gene/84191	
FAM96B	Fe-S cluster biosynthesis	16	FAM96B: Components of the cytosolic Fe/S protein assembly (CIA) machinery	ENSG00000166595	66932055	66934423	http://www.ncbi.nlm.nih.gov/gene/51647	
MMS19	Fe-S cluster biosynthesis	10	MMS19: Cytosolic Fe/S protein assembly targeting factor	ENSG00000155229	97458324	97498794	http://www.ncbi.nlm.nih.gov/gene/64210	
NARF	Fe-S cluster biosynthesis	17	NARF: Cytosolic Fe-S protein maturation	ENSG00000141562	82458180	82490537	http://www.ncbi.nlm.nih.gov/gene/26502	
MFN1	Mitochondrial Dynamics	3	MFN1: Involved in the mitochondrial fusion, mitofusins dimerize resulting in the tethering of the outer membranes of the fusing mitochondria also involved in the tethering of Endoplasmic reticulum with mitochondria for mitochondrial calcium uptake	ENSG00000171109	179347692	179394931	http://www.ncbi.nlm.nih.gov/gene/55669	
MFN2	Mitochondrial Dynamics	1	MFN2: Involved in the mitochondrial fusion, mitofusins dimerize resulting in the tethering of the outer membranes of the fusing mitochondria also involved in the tethering of Endoplasmic reticulum with mitochondria for mitochondrial calcium uptake	ENSG00000116688	11980181	12013514	http://www.ncbi.nlm.nih.gov/gene/9927	
OPA1	Mitochondrial Dynamics	3	OPA1: Involved in the mitochondrial fusion, initiates inner membrane fusion	ENSG00000198836	193593144	193697823	http://www.ncbi.nlm.nih.gov/gene/4976	
PHB2	Mitochondrial Dynamics	12	PHB2: Involved in the mitochondrial fusion, scaffold proteins PHB2 and STOML2 coordinate stability of the OPA1	ENSG00000215021	6965327	6970825	http://www.ncbi.nlm.nih.gov/gene/11331	
STOML2	Mitochondrial Dynamics	9	STOML2:  Involved in the mitochondrial fusion, scaffold proteins PHB2 and STOML2 coordinate stability of the OPA1	ENSG00000165283	35099776	35103195	http://www.ncbi.nlm.nih.gov/gene/30968	
PINK1	Mitochondrial Dynamics	1	PINK1: Involved in the mitochondrial fusion, PINK1 phosphorylates PARK2 and inturn PARK2 induced ubiquitination of mitofusins may target mitochondria for mitophagy	ENSG00000158828	20633455	20651511	http://www.ncbi.nlm.nih.gov/gene/65018	
PARK2	Mitochondrial Dynamics	6	PARK2: Involved in the mitochondrial fusion, PARK2 induced ubiquitination of mitofusins may target mitochondria for mitophagy	ENSG00000185345	161347420	162727771	http://www.ncbi.nlm.nih.gov/gene/5071	
OPA3	Mitochondrial Dynamics	19	OPA3: Involved in the mitochondrial fusion, Involved in mitochondrial fragmentation, interacts with MFN1	ENSG00000125741	45527427	45602212	http://www.ncbi.nlm.nih.gov/gene/80207	
PARL	Mitochondrial Dynamics	3	PARL: Involved in the mitochondrial fusion, regulates the clevage of OPA1	ENSG00000175193	183829385	183884933	http://www.ncbi.nlm.nih.gov/gene/55486	
SPG7	Mitochondrial Dynamics	16	SPG7: Involved in the mitochondrial fusion, known to maintain the OPA1 isoforms	ENSG00000197912	89490917	89557768	http://www.ncbi.nlm.nih.gov/gene/6687	
AFG3L2	Mitochondrial Dynamics	18	AFG3L2: Involved in the mitochondrial fusion, known to maintain the OPA1 isoforms	ENSG00000141385	12328944	12377314	http://www.ncbi.nlm.nih.gov/gene/10939	
OMA1	Mitochondrial Dynamics	1	OMA1: Involved in the mitochondrial fusion, know to induce proteolytic inactivation of OPA1	ENSG00000162600	58415384	58546802	http://www.ncbi.nlm.nih.gov/gene/115209	
YME1L1	Mitochondrial Dynamics	10	YME1L1: Involved in the mitochondrial fusion, known to cleave OPA1	ENSG00000136758	27110112	27155266	http://www.ncbi.nlm.nih.gov/gene/10730	
PLD6	Mitochondrial Dynamics	17	PLD6: Involved in the mitochondrial fusion, promotes mitofusin-mediated fusion	ENSG00000179598	17200995	17206315	http://www.ncbi.nlm.nih.gov/gene/201164	
MARCH5	Mitochondrial Dynamics	10	MARCH5: Involved in the mitochondrial fusion and fission, control of mitochondrial morphology by regulating MFN2 and DNM1L	ENSG00000198060	92291163	92353964	http://www.ncbi.nlm.nih.gov/gene/54708	
TRAP1	Mitochondrial Dynamics	16	TRAP1: Involved in the mitochonrial fission, known to regulate fission proteins DNM1L and MFF	ENSG00000126602	3651639	3717597	http://www.ncbi.nlm.nih.gov/gene/10131	
DNM1L	Mitochondrial Dynamics	12	DNM1L: Involved in the mitochondrial fission, mediates the division of mitochondria	ENSG00000087470	32679200	32745650	http://www.ncbi.nlm.nih.gov/gene/10059	
MFF	Mitochondrial Dynamics	2	MFF: Involved in the mitochondrial fission, suggested to have roles in recruiting DNM1L	ENSG00000168958	227325151	227357836	http://www.ncbi.nlm.nih.gov/gene/56947	
MIEF1	Mitochondrial Dynamics	22	MIEF1: Involved in the mitochondrial fission, suggested to have roles in recruiting DNM1L	ENSG00000100335	39499432	39518132	http://www.ncbi.nlm.nih.gov/gene/54471	
MIEF2	Mitochondrial Dynamics	17	MIEF2: Involved in the mitochondrial fission, suggested to have roles in recruiting DNM1L	ENSG00000177427	18260534	18266552	http://www.ncbi.nlm.nih.gov/gene/125170	
FIS1	Mitochondrial Dynamics	7	FIS1: Involved in the mitochondrial fission, facilitates binding and assembly of DNM1L	ENSG00000214253	101239458	101252316	http://www.ncbi.nlm.nih.gov/gene/51024	
MTFP1	Mitochondrial Dynamics	22	MTFP1: Involved in the mitochondrial fission, role in mitochondrial fragmentation and is dependent on DNM1L expression	ENSG00000242114	30425530	30429053	http://www.ncbi.nlm.nih.gov/gene/51537	
GDAP1	Mitochondrial Dynamics	8	GDAP1: Involved in the mitochondrial fission, know to have a role in the mitochondrial fragmentation	ENSG00000104381	74321130	74488872	http://www.ncbi.nlm.nih.gov/gene/54332	
SH3GLB1	Mitochondrial Dynamics	1	SH3GLB1: Involved in the mitochondrial fission, proposed to be involved in the lipid remodeling of the outer membrane during fission	ENSG00000097033	86704570	86748184	http://www.ncbi.nlm.nih.gov/gene/51100	
PKIA	Mitochondrial Dynamics	8	PKIA: Involved in the mitochondrial fission, is known to inhibit GTPase activity of DNM1L	ENSG00000171033	78516139	78605267	http://www.ncbi.nlm.nih.gov/gene/5569	
BECN1	Mitochondrial Dynamics	17	BECN1: Involved in the mitophagy, involved in the initiation of autophagy	ENSG00000126581	42810134	42833350	http://www.ncbi.nlm.nih.gov/gene/8678	
AMBRA1	Mitochondrial Dynamics	11	AMBRA1: Involved in the mitophagy, translocates to the mitochondria and facilitate phagophore formation	ENSG00000110497	46396414	46594125	http://www.ncbi.nlm.nih.gov/gene/55626	
BNIP3	Mitochondrial Dynamics	10	BNIP3: Involved in the mitophagy, cause permeabilization of the mitochondrial membrane and also acts as a proapoptotic factor	ENSG00000176171	131966455	131982013	http://www.ncbi.nlm.nih.gov/gene/664	
BNIP3L	Mitochondrial Dynamics	8	BNIP3L: Involved in the mitophagy, cause permeabilization of the mitochondrial membrane and also regulate mitophagy	ENSG00000104765	26382898	26505636	http://www.ncbi.nlm.nih.gov/gene/665	
MAP1LC3A	Mitochondrial Dynamics	20	MAP1LC3A: Involved in the mitophagy, interacts with BNIP3 and BNIP3L to remove mitochondria via autophagy	ENSG00000101460	34546854	34560345	http://www.ncbi.nlm.nih.gov/gene/84557	
GABARAP	Mitochondrial Dynamics	17	GABARAP: Involved in the mitophagy, interacts with BNIP3 and BNIP3L to remove mitochondria via autophagy	ENSG00000170296	7240014	7242770	http://www.ncbi.nlm.nih.gov/gene/11337	
SQSTM1	Mitochondrial Dynamics	5	SQSTM1: Involved  in the mitophagy, recruited to mitochondria and binds mitochondrial substrates on the autophagosomes	ENSG00000161011	179806398	179838078	http://www.ncbi.nlm.nih.gov/gene/8878	
RHOT1	Mitochondrial Dynamics	17	RHOT1: Involved in the mitophagy, tethers mitochondria to the tubulin network but phosphorylation by PINK1 results in the disattachment of mitochondria	ENSG00000126858	32142454	32253374	http://www.ncbi.nlm.nih.gov/gene/55288	
RHOT2	Mitochondrial Dynamics	16	RHOT2: Involved in the mitophagy, tethers mitochondria to the tubulin network but phosphorylation by PINK1 results in the disattachment of mitochondria	ENSG00000140983	668086	674174	http://www.ncbi.nlm.nih.gov/gene/89941	
KIF5B	Mitochondrial Dynamics	10	KIF5B: Involved in the mitochondrial movement, have role in the mitochondrial distribution in neurons	ENSG00000170759	32009010	32056431	http://www.ncbi.nlm.nih.gov/gene/3799	
KIF1B	Mitochondrial Dynamics	1	KIF1B: Involved in the mitochondrial movement, have role in the mitochondrial distribution in neurons	ENSG00000054523	10210805	10381603	http://www.ncbi.nlm.nih.gov/gene/23095	
DYNLL1	Mitochondrial Dynamics	12	DYNLL1: Involved in the mitochondrial movement, have role in the retrograde mitochondrial movement	ENSG00000088986	120469850	120498493	http://www.ncbi.nlm.nih.gov/gene/8655	
SYBU	Mitochondrial Dynamics	8	SYBU: Involved in the mitochondrial movement, have a role in linking the mitochondria to KIF5B	ENSG00000147642	109573978	109691791	http://www.ncbi.nlm.nih.gov/gene/55638	
TRAK1	Mitochondrial Dynamics	3	TRAK1: Involved in the mitochondrial movement, acts as a adapter linking kinesin-1 to mitochondria	ENSG00000182606	42013802	42225889	http://www.ncbi.nlm.nih.gov/gene/22906	
TRAK2	Mitochondrial Dynamics	2	TRAK2: Involved in the mitochondrial movement, acts as a adapter linking kinesin-1 to mitochondria	ENSG00000115993	201377207	201451611	http://www.ncbi.nlm.nih.gov/gene/66008	
MSTO1	Mitochondrial Dynamics	1	MSTO1: Involved in the regulation of mitochondrial distribution and morphology	ENSG00000125459	155610205	155614967	http://www.ncbi.nlm.nih.gov/gene/55154	
TOMM20	Import & Sorting	1	TOMM20: Outer membrane translocation, recognize presequences on the mitochondrial outer membrane	ENSG00000173726	235109336	235128936	http://www.ncbi.nlm.nih.gov/gene/9804	
TOMM22	Import & Sorting	22	TOMM22: Outer membrane translocation, recognize presequences on the mitochondrial outer membrane	ENSG00000100216	38681948	38685421	http://www.ncbi.nlm.nih.gov/gene/56993	
TOMM40	Import & Sorting	19	TOMM40: Outer membrane translocation, forms the outer membrane channel forming protein	ENSG00000130204	44890569	44903689	http://www.ncbi.nlm.nih.gov/gene/10452	
TOMM40L	Import & Sorting	1	TOMM40L: Outer membrane translocation, forms the outer membrane channel forming protein	ENSG00000158882	161225939	161230744	http://www.ncbi.nlm.nih.gov/gene/84134	
TOMM5	Import & Sorting	9	TOMM5: Outer membrane translocation, transports preprotein to the import pore formed by TOMM40	ENSG00000175768	37582646	37592642	http://www.ncbi.nlm.nih.gov/gene/401505	
TOMM70A	Import & Sorting	3	TOMM70A: Outer membrane translocation, recognizes proteins with internal targeting signals	ENSG00000154174	100363431	100401398	http://www.ncbi.nlm.nih.gov/gene/9868	
TOMM6	Import & Sorting	6	TOMM6: Outer membrane translocation, required for the assembly and stability of the TOM complex	ENSG00000214736	41787662	41789898	http://www.ncbi.nlm.nih.gov/gene/100188893	
TOMM7	Import & Sorting	7	TOMM7: Outer membrane translocation, required for the assembly and stability of the TOM complex	ENSG00000196683	22812628	22822852	http://www.ncbi.nlm.nih.gov/gene/54543	
TIMM50	Import & Sorting	19	TIMM50: Inner membrane translocation, guides the preproteins to the import channel formed by TIMM23	ENSG00000105197	39480412	39493785	http://www.ncbi.nlm.nih.gov/gene/92609	
TIMM17A	Import & Sorting	1	TIMM17A: Inner membrane translocation, might influence the channel activity formed by the TIMM23	ENSG00000134375	201955491	201970661	http://www.ncbi.nlm.nih.gov/gene/10440	
TIMM17B	Import & Sorting	X	TIMM17B: Inner membrane translocation, might influence the channel activity formed by the TIMM23	ENSG00000126768	48893447	48898143	http://www.ncbi.nlm.nih.gov/gene/10245	
TIMM23	Import & Sorting	10	TIMM23: Inner membrane translocation, forms the main channel of TIMM23 complex	ENSG00000265354	45972449	46003734	http://www.ncbi.nlm.nih.gov/gene/100287932	
TIMM21	Import & Sorting	18	TIMM21: Inner membrane translocation, connects TOMM and TIMM complex and may assist in the release of preprotein from the TOMM complex	ENSG00000075336	74148511	74160530	http://www.ncbi.nlm.nih.gov/gene/29090	
HSPA9	Import & Sorting	5	HSPA9: Presequence translocase associated motor, binds to the preprotein and drives it into the matrix in association with other chaperones and also involved in the mediation of the interaction between VDAC1 and Inositol-1,4,5-triphosphate receptors	ENSG00000113013	138554882	138575444	http://www.ncbi.nlm.nih.gov/gene/3313	
TIMM44	Import & Sorting	19	TIMM44: Presequence translocase associated motor, gets asssociated with the HSPA9 to drive proteins into the matrix	ENSG00000104980	7926718	7943920	http://www.ncbi.nlm.nih.gov/gene/10469	
DNAJC19	Import & Sorting	3	DNAJC19: Presequence translocase associated motor, could stimulate the ATPase activity of HSPA9	ENSG00000205981	180983709	180989774	http://www.ncbi.nlm.nih.gov/gene/131118	
PAM16	Import & Sorting	16	PAM16: Presequence translocase associated motor, controls the activity of DNAJC19	ENSG00000217930	4331549	4355607	http://www.ncbi.nlm.nih.gov/gene/51025	
GRPEL1	Import & Sorting	4	GRPEL1: Presequence translocase associated motor, acts as a nucleotide exchange factor releasing the ADP from HSPA9	ENSG00000109519	7058906	7068197	http://www.ncbi.nlm.nih.gov/gene/80273	
GRPEL2	Import & Sorting	5	GRPEL2: Presequence translocase associated motor, acts as a nucleotide exchange factor releasing the ADP from HSPA9	ENSG00000164284	149345430	149354583	http://www.ncbi.nlm.nih.gov/gene/134266	
TIMM9	Import & Sorting	14	TIMM9: Innermembrane carrier pathway, forms complex with TIMM10 and performs chaperone like activity in the intermembrane space	ENSG00000100575	58408494	58427614	http://www.ncbi.nlm.nih.gov/gene/26520	
TIMM10	Import & Sorting	11	TIMM10: Innermembrane carrier pathway, forms complex with TIMM9 and performs chaperone like activity in the intermembrane space	ENSG00000134809	57528463	57530803	http://www.ncbi.nlm.nih.gov/gene/26519	
TIMM8A	Import & Sorting	X	TIMM8A: Innermembrane carrier pathway, forms complex with TIMM13 and also performs the transfer of inner membrane proteins	ENSG00000126953	101345661	101349196	http://www.ncbi.nlm.nih.gov/gene/1678	
TIMM8B	Import & Sorting	11	TIMM8B: Innermembrane carrier pathway, forms complex with TIMM13 and also performs the transfer of inner membrane proteins	ENSG00000150779	112084800	112086798	http://www.ncbi.nlm.nih.gov/gene/26521	
TIMM13	Import & Sorting	19	TIMM13: Innermembrane carrier pathway, forms complex with TIMM8 and performs the transfer of inner membrane proteins	ENSG00000099800	2425624	2427894	http://www.ncbi.nlm.nih.gov/gene/26517	
TIMM22	Import & Sorting	17	TIMM22: Innermembrane carrier pathway, forms the core channel and inserts proteins into inner membrane	ENSG00000177370	997117	1003671	http://www.ncbi.nlm.nih.gov/gene/29928	
CHCHD4	Import & Sorting	3	CHCHD4: Intermembrane transport and assembly, acts as a receptor at the inter membrane space and recognizes incoming precursor proteins	ENSG00000163528	14112077	14124870	http://www.ncbi.nlm.nih.gov/gene/131474	
GFER	Import & Sorting	16	GFER: Intermembrane transport and assembly, it is know to oxidize CHCHD4 and then the oxidized CHCHD4 acts as a receptor for the pre proteins	ENSG00000127554	1984207	1987749	http://www.ncbi.nlm.nih.gov/gene/2671	
SAMM50	Import & Sorting	22	SAMM50: Outermembrane sorting and assembly machinary, central component of SAMM complex and inserts beta barrel proteins into the outer membrane	ENSG00000100347	43955421	44010531	http://www.ncbi.nlm.nih.gov/gene/25813	
PMPCA	Import & Sorting	9	PMPCA: Presequence of preproteins are removed by proteolytic enzyme mitochondrial processing peptidase	ENSG00000165688	136410570	136423761	http://www.ncbi.nlm.nih.gov/gene/23203 	
PMPCB	Import & Sorting	7	PMPCB: Presequence of preproteins are removed by proteolytic enzyme mitochondrial processing peptidase	ENSG00000105819	103297422	103329511	http://www.ncbi.nlm.nih.gov/gene/9512	
MIPEP	Import & Sorting	13	MIPEP: Secondary cleavage of the pre proteins processed by the mitochondrial processing peptidase	ENSG00000027001	23730189	23889419	http://www.ncbi.nlm.nih.gov/gene/4285	
IMMP1L	Import & Sorting	11	IMMP1L: Inner membrane peptidase that cleaves hydrophobic sorting signal	ENSG00000148950	31432401	31509645	http://www.ncbi.nlm.nih.gov/gene/196294	
IMMP2L	Import & Sorting	7	IMMP2L: Inner membrane peptidase that cleaves hydrophobic sorting signal	ENSG00000184903	110663051	111562517	http://www.ncbi.nlm.nih.gov/gene/83943	
SSBP1	Replication & Transcription	7	SSBP1: Promotes helical destabilization for the DNA helicases and Polymerase gama (POLG) to support mtDNA replication	ENSG00000106028	141738321	141787922	http://www.ncbi.nlm.nih.gov/gene/6742	
C10orf2	Replication & Transcription	10	C10orf2: Mitochondrial DNA (mtDNA) helicase (TWINKLE) plays a important role in the maintenance of mtDNA	ENSG00000107815	100987367	100994401	http://www.ncbi.nlm.nih.gov/gene/56652	
RNASEH1	Replication & Transcription	2	RNASEH1: May have role in the removal of RNA primers at the origin of replication on heavy and light strands	ENSG00000171865	3544793	3558616	http://www.ncbi.nlm.nih.gov/gene/246243	
TOP1MT	Replication & Transcription	8	TOP1MT: Suggested to have a role in the removal of positive supercoils created by helicase activity	ENSG00000184428	143304384	143359979	http://www.ncbi.nlm.nih.gov/gene/116447	
TOP3A	Replication & Transcription	17	TOP3A: May also be present in mitochondrial with the role in the removal of positive supercoils during replication	ENSG00000177302	18271428	18315007	http://www.ncbi.nlm.nih.gov/gene/7156	
LIG3	Replication & Transcription	17	LIG3: involved in the mitochondrial DNA replication and repair	ENSG00000005156	34980494	35009743	http://www.ncbi.nlm.nih.gov/gene/3980	
TERT	Replication & Transcription	5	TERT: Role in the protection of mitochondrial integrity with a suggested role in mt-DNA replication and/or repair	ENSG00000164362	1253147	1295069	http://www.ncbi.nlm.nih.gov/gene/7015	
TFAM	Replication & Transcription	10	TFAM: A key activator of mitochondrial transcription and also functions in replication and repair	ENSG00000108064	58385022	58399221	http://www.ncbi.nlm.nih.gov/gene/7019	
TFB1M	Replication & Transcription	6	TFB1M: Regulates the stability of small subunit of mitochondrial ribosome by its methylation activity. It also plays a very important role in transcription	ENSG00000029639	155257509	155314493	http://www.ncbi.nlm.nih.gov/gene/51106	
TFB2M	Replication & Transcription	1	TFB2M: Essential transcription faactor involved in the transcription of mitochondrial genes	ENSG00000162851	246540560	246566324	http://www.ncbi.nlm.nih.gov/gene/64216	
NRF1	Replication & Transcription	7	NRF1: Regulates the expression of TFB1M and TFB2M which are two mitochondrial transcription factors	ENSG00000106459	129611714	129757082	http://www.ncbi.nlm.nih.gov/gene/4899	
NFE2L2	Replication & Transcription	2	NFE2L2: Regulates the expression of TFB1M and TFB2M which are two mitochondrial transcription factors	ENSG00000116044	177227595	177392697	http://www.ncbi.nlm.nih.gov/gene/4780	
PPARGC1A	Replication & Transcription	4	PPARGC1A: Regulates the expression of TFB1M and TFB2M which are two mitochondrial transcription factors	ENSG00000109819	23755041	23904089	http://www.ncbi.nlm.nih.gov/gene/10891	
POLRMT	Replication & Transcription	19	POLRMT: provides primers for the initiation of replication of the mitochondria genome	ENSG00000099821	617224	633604	http://www.ncbi.nlm.nih.gov/gene/5442	
RMRP	Replication & Transcription	9	RMRP: RNA component of mitochondrial RNA processing endoribonuclease: cleaves mitochondrial RNA at the priming site of mitochondrial DNA replication	ENSG00000277027	35657754	35658017	http://www.ncbi.nlm.nih.gov/gene/6023	
UNG	Replication & Transcription	12	UNG: prevent mutagenesis by eliminating uracil from DNA molecules	ENSG00000076248	109097574	109110992	http://www.ncbi.nlm.nih.gov/gene/7374	
OGG1	Replication & Transcription	3	OGG1: responsible for the excision of 8-oxoguanine	ENSG00000114026	9749944	9788219	http://www.ncbi.nlm.nih.gov/gene/4968	
NTHL1	Replication & Transcription	16	NTHL1: Involved in the repair of mispairs in DNA	ENSG00000065057	2039815	2047866	http://www.ncbi.nlm.nih.gov/gene/4913	
MUTYH	Replication & Transcription	1	MUTYH: Involved in the mitochondrial DNA base excision repair	ENSG00000132781	45329163	45340470	http://www.ncbi.nlm.nih.gov/gene/4595	
APEX1	Replication & Transcription	14	APEX1: Involved in the mitochondrial DNA base excision repair	ENSG00000100823	20455191	20457772	http://www.ncbi.nlm.nih.gov/gene/328	
APEX2	Replication & Transcription	X	APEX2: Involved in the mitochondrial DNA base excision repair	ENSG00000169188	55000357	55009057	http://www.ncbi.nlm.nih.gov/gene/27301	
ENDOG	Replication & Transcription	9	ENDOG: Nuclease which processes the RNA primers for heavy strand replication also has a role in apopptosis where after release from the mitochondria induces nucleosomal DNA fragmentation	ENSG00000167136	128818474	128822677	http://www.ncbi.nlm.nih.gov/gene/2021	
POLG	Replication & Transcription	15	POLG: Mitochondrial DNA polymerasein addition it also shows 3' to 5' exonuclease activity and ensure faithful replication	ENSG00000140521	89316305	89334861	http://www.ncbi.nlm.nih.gov/gene/5428	
