gene	process	chr	function	ENSG
SLC25A20	Fatty Acid Metabolism	NA	acyl carnitine transmembrane transporter activity; carnitine transmembrane transporter activity; carnitine:acyl carnitine antiporter activity; transmembrane transporter activity	NA
PTCD3	Translation	NA	molecular_function	NA
PMPCA	Import & Sorting	NA	metal ion binding; metalloendopeptidase activity	NA
SLC25A20	Fatty Acid Metabolism	NA	carnitine:acyl carnitine antiporter activity; transporter activity	NA
PTRH2	Translation	NA	aminoacyl-tRNA hydrolase activity	NA
PNKD	Translation	NA	  	NA
SLC25A21	Mitochondrial Carrier	NA	oxidative phosphorylation uncoupler activity; transmembrane transporter activity	NA
PTRH2	Translation	NA	aminoacyl-tRNA hydrolase activity; molecular_function	NA
PPA2	Translation	NA	inorganic diphosphatase activity; magnesium ion binding	NA
SLC25A21	Mitochondrial Carrier	NA	transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
QARS	Translation	NA	ATP binding; glutamine-tRNA ligase activity	NA
PPIF	Calcium Signaling & Transport	NA	cyclin-dependent protein serine/threonine kinase regulator activity; peptidyl-prolyl cis-trans isomerase activity	NA
SLC25A22	Mitochondrial Carrier	NA	acyl carnitine transmembrane transporter activity; carnitine transmembrane transporter activity; transmembrane transporter activity	NA
PPIF	Calcium Signaling & Transport	NA	peptidyl-prolyl cis-trans isomerase activity	NA
SLC25A18	Mitochondrial Carrier	NA	acyl carnitine transmembrane transporter activity; carnitine transmembrane transporter activity; transmembrane transporter activity	NA
PPP2CA	Glycolysis	NA		NA
SLC25A22	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
PPP2R1A	Glycolysis	NA		NA
SLC25A18	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
PPP2R5D	Glycolysis	NA		NA
SLC25A26	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
QRSL1	Translation	NA	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	NA
RARS2	Translation	NA	arginine-tRNA ligase activity; ATP binding	NA
RARS	Translation	NA	arginine-tRNA ligase activity; ATP binding	NA
RNMTL1	Translation	NA	molecular_function; RNA binding; RNA methyltransferase activity	NA
ROMO1	ROS Defense	NA	  	NA
SAMM50	Import & Sorting	NA	molecular_function	NA
PRDX5	ROS Defense	NA	Unknown from fly file  	NA
SLC25A29	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SARS2	Translation	NA	ATP binding; serine-tRNA ligase activity; tRNA binding	NA
PRODH2	Amino Acid Metabolism	NA	molecular_function	NA
SLC25A32	Folate & Pterine Metabolism	NA	folic acid transporter activity; transmembrane transporter activity	NA
SARS	Translation	NA	ATP binding; serine-tRNA ligase activity	NA
PRODH	Amino Acid Metabolism	NA	proline dehydrogenase activity	NA
SARS2	Translation	NA	ATP binding; serine-tRNA ligase activity	NA
PSTK	Translation	NA	molecular_function	NA
SCO1	Electron Transport Chain	NA	copper chaperone activity; cytochrome-c oxidase activity	NA
PTPMT1	Metabolism of Lipids & Lipoproteins	NA	phosphatidylinositol-4 5-bisphosphate 5-phosphatase activity; protein tyrosine phosphatase activity; protein tyrosine/serine/threonine phosphatase activity	NA
SLC25A36	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
PUS1	Translation	NA	pseudouridine synthase activity; pseudouridylate synthase activity; RNA binding	NA
SLC25A33	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
PUSL1	Translation	NA	molecular_function; pseudouridine synthase activity; RNA binding	NA
SLC25A37	Fe-S cluster biosynthesis	NA	iron ion transmembrane transporter activity; transmembrane transporter activity	NA
PYCR1	Amino Acid Metabolism	NA	pyrroline-5-carboxylate reductase activity	NA
SLC25A28	Fe-S cluster biosynthesis	NA	iron ion transmembrane transporter activity; transmembrane transporter activity	NA
PYCR2	Amino Acid Metabolism	NA	pyrroline-5-carboxylate reductase activity	NA
SCO2	Electron Transport Chain	NA	copper chaperone activity; cytochrome-c oxidase activity	NA
SDHA	Electron Transport Chain	NA	flavin adenine dinucleotide binding; succinate dehydrogenase (ubiquinone) activity	NA
SDHA	Electron Transport Chain	NA	flavin adenine dinucleotide binding; succinate dehydrogenase (ubiquinone) activity; succinate-CoA ligase (GDP-forming) activity	NA
SDHAF2	Electron Transport Chain	NA	  	NA
SDHAF2	Electron Transport Chain	NA	copper ion binding	NA
QDPR	Amino Acid Metabolism	NA	6 7-dihydropteridine reductase activity	NA
SDHAF3	Electron Transport Chain	NA	  	NA
QTRT1	Translation	NA	queuine tRNA-ribosyltransferase activity	NA
ACN9	Electron Transport Chain	NA	  	NA
RAD51	Replication & Transcription	NA	ATP binding; damaged DNA binding; DNA-dependent ATPase activity; protein binding; recombinase activity	NA
SLC25A44	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SDHB	Electron Transport Chain	NA	Two-iron-two-sulfur cluster binding; electron carrier activity; succinate dehydrogenase (ubiquinone) activity	NA
RBFA	Translation	NA	  	NA
SLC25A48	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SDHB	Electron Transport Chain	NA	Two-iron-two-sulfur cluster binding; electron carrier activity; succinate dehydrogenase activity	NA
REXO2	Translation	NA	3'-5'-exoribonuclease activity; exonuclease activity; nucleic acid binding; oligonucleotidase activity	NA
SLC25A45	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SDHC	Electron Transport Chain	NA	electron carrier activity; succinate dehydrogenase (ubiquinone) activity; succinate dehydrogenase activity	NA
RFK	Metabolism of Vitamins & Co-Factors	NA	riboflavin kinase activity	NA
SLC25A47	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
RHOT1	Mitochondrial Signaling	NA	calcium ion binding; GTP binding; GTPase activity	NA
RHOT2	Mitochondrial Signaling	NA	calcium ion binding; GTP binding; GTPase activity	NA
RMND1	Translation	NA	molecular_function	NA
RNF5	Protein Stability & Degradation	NA	zinc ion binding	NA
SLC25A51	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SDHD	Electron Transport Chain	NA	succinate dehydrogenase (ubiquinone) activity; succinate dehydrogenase activity	NA
SFXN3	Import & Sorting	NA	cation transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
SFXN1	Import & Sorting	NA	cation transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
SFXN5	Import & Sorting	NA	cation transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
SFXN2	Import & Sorting	NA	cation transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
RNF185	Protein Stability & Degradation	NA	zinc ion binding	NA
SFXN3	Import & Sorting	NA	cation transmembrane transporter activity; DNA binding	NA
RPS6KB1	Apoptosis	NA	ATP binding; protein serine/threonine kinase activity; ribosomal protein S6 kinase activity	NA
SLC25A52	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SFXN5	Import & Sorting	NA	cation transmembrane transporter activity; DNA binding	NA
RPUSD4	Translation	NA	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity; pseudouridine synthase activity; RNA binding	NA
SLC25A53	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SFXN2	Import & Sorting	NA	cation transmembrane transporter activity; DNA binding	NA
RTN4IP1	Electron Transport Chain	NA	oxidoreductase activity; zinc ion binding	NA
SOD2	ROS Defense	NA	antioxidant activity; metal ion binding; superoxide dismutase activity	NA
SLC25A10	Mitochondrial Carrier	NA	dicarboxylic acid transmembrane transporter activity; inorganic phosphate transmembrane transporter activity; malate transmembrane transporter activity; oxaloacetate transmembrane transporter activity; succinate transmembrane transporter activity; sulfate transmembrane transporter activity; thiosulfate transmembrane transporter activity; transmembrane transporter activity	NA
SARDH	Metabolism of Lipids & Lipoproteins	NA	aminomethyltransferase activity; sarcosine dehydrogenase activity	NA
SPG7	Mitochondrial Dynamics	NA	ATP binding; ATPase activity; metalloendopeptidase activity; metallopeptidase activity; zinc ion binding	NA
SLC25A10	Mitochondrial Carrier	NA	dicarboxylic acid transmembrane transporter activity; inorganic phosphate transmembrane transporter activity; malate transmembrane transporter activity; sulfate transmembrane transporter activity; thiosulfate transmembrane transporter activity; transmembrane transporter activity	NA
DMGDH	Metabolism of Lipids & Lipoproteins	NA	aminomethyltransferase activity; sarcosine dehydrogenase activity	NA
AFG3L2	Mitochondrial Dynamics	NA	ATP binding; ATPase activity; metalloendopeptidase activity; metallopeptidase activity; zinc ion binding	NA
SPG7	Mitochondrial Dynamics	NA	ATP binding; ATPase activity; metalloendopeptidase activity; zinc ion binding	NA
SCP2	Bile Acid Synthesis	NA	acetyl-CoA C-acyltransferase activity	NA
AFG3L2	Mitochondrial Dynamics	NA	ATP binding; ATPase activity; metalloendopeptidase activity; zinc ion binding	NA
SCP2	Bile Acid Synthesis	NA	phospholipid transporter activity; sterol binding; transferase activity transferring acyl groups other than amino-acyl groups	NA
SSBP1	Replication & Transcription	NA	single-stranded DNA binding	NA
SDHC	Electron Transport Chain	NA	succinate dehydrogenase activity	NA
STAR	Bile Acid Synthesis	NA	cholesterol binding; cholesterol transporter activity	NA
SLC25A10	Mitochondrial Carrier	NA	dicarboxylic acid transmembrane transporter activity; transmembrane transporter activity	NA
SLC25A12	Calcium Signaling & Transport	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A13	Calcium Signaling & Transport	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A15	Mitochondrial Carrier	NA	amino acid transmembrane transporter activity; L-ornithine transmembrane transporter activity; transmembrane transporter activity	NA
SLC25A2	Mitochondrial Carrier	NA	amino acid transmembrane transporter activity; L-ornithine transmembrane transporter activity; transmembrane transporter activity	NA
SHC1	Mitochondrial Signaling	NA	receptor tyrosine kinase binding	NA
SLC25A16	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SHMT1	Folate & Pterine Metabolism	NA	glycine hydroxymethyltransferase activity; pyridoxal phosphate binding	NA
SUCLG2	TCA Cycle	NA	ATP binding; metal ion binding; succinate-CoA ligase (ADP-forming) activity	NA
SLC25A42	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SHMT2	Folate & Pterine Metabolism	NA	glycine hydroxymethyltransferase activity; pyridoxal phosphate binding	NA
SUCLA2	TCA Cycle	NA	ATP binding; metal ion binding; succinate-CoA ligase (ADP-forming) activity	NA
SLC25A19	Fatty Acid Biosynthesis	NA	thiamine pyrophosphate-transporting ATPase activity; transmembrane transporter activity	NA
SIRT1	Mitochondrial Signaling	NA	histone deacetylase activity; NAD+ binding; NAD-dependent histone deacetylase activity; transcription factor binding	NA
SUCLG2	TCA Cycle	NA	ATP binding; succinate-CoA ligase (GDP-forming) activity	NA
SLC25A19	Mitochondrial Carrier	NA	oxidative phosphorylation uncoupler activity; transmembrane transporter activity	NA
SIRT4	Mitochondrial Signaling	NA	NAD+ binding	NA
SUCLA2	TCA Cycle	NA	ATP binding; succinate-CoA ligase (GDP-forming) activity	NA
SLC25A1	Mitochondrial Carrier	NA	transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
SLC22A4	Mitochondrial Carrier	NA	cation transmembrane transporter activity; organic cation transmembrane transporter activity	NA
SUPV3L1	Replication & Transcription	NA	ATP binding; ATP-dependent RNA helicase activity; nucleic acid binding	NA
SLC22A4	Mitochondrial Carrier	NA	organic cation transmembrane transporter activity	NA
SURF1	Electron Transport Chain	NA	heme transporter activity	NA
SLC25A10	Mitochondrial Carrier	NA	dicarboxylic acid transmembrane transporter activity	NA
TAMM41	Import & Sorting	NA	molecular_function	NA
SLC25A10	Mitochondrial Carrier	NA	oxoglutarate:malate antiporter activity; transmembrane transporter activity	NA
TARS2	Translation	NA	ATP binding; threonine-tRNA ligase activity	NA
MRPL12	Mitochondrial Carrier	NA	oxoglutarate:malate antiporter activity; transmembrane transporter activity	NA
TAZ	Cardiolipin Biosynthesis	NA	phosphatidylcholine:cardiolipin O-linoleoyltransferase activity; transferase activity transferring acyl groups	NA
TFAM	Replication & Transcription	NA	sequence-specific DNA binding transcription factor activity	NA
TFB1M	Replication & Transcription	NA	rRNA (adenine) methyltransferase activity; rRNA (adenine-N6 N6-)-dimethyltransferase activity; transcription cofactor activity	NA
TFB2M	Replication & Transcription	NA	rRNA (adenine-N6 N6-)-dimethyltransferase activity; transcription cofactor activity	NA
COQ9	Ubiquinone Biosynthesis	NA	lipid binding	NA
TIMM10	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
COX10	Electron Transport Chain	NA	protoheme IX farnesyltransferase activity	NA
TIMM13	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
COX11	Electron Transport Chain	NA	copper ion binding	NA
COX15	Electron Transport Chain	NA	oxidoreductase activity acting on the CH-CH group of donors	NA
COX17	Electron Transport Chain	NA	copper chaperone activity	NA
UQCRFS1	Electron Transport Chain	NA	Two-iron-two-sulfur cluster binding; ubiquinol-cytochrome-c reductase activity	NA
COX1	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity; heme binding; iron ion binding	NA
TIMM17B	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity; protein transporter activity	NA
COX20	Electron Transport Chain	NA	molecular_function	NA
UQCRQ	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity; ubiquinone binding	NA
TIMM17A	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity; protein transporter activity	NA
COX2	Electron Transport Chain	NA	copper ion binding; cytochrome-c oxidase activity	NA
UROS	Heme Biosynthesis	NA	uroporphyrinogen-III synthase activity	NA
TIMM21	Import & Sorting	NA	mitohcondrial protein-transporting ATPase activity	NA
COX3	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
USMG5	Electron Transport Chain	NA	ribonucleoprotein	NA
USMG5	Electron Transport Chain	NA	hormone activity	NA
VARS	Translation	NA	aminoacyl-tRNA editing activity; ATP binding; valine-tRNA ligase activity	NA
VARS2	Translation	NA	aminoacyl-tRNA editing activity; ATP binding; valine-tRNA ligase activity	NA
VDAC1	Apoptosis	NA	voltage-gated anion channel activity	NA
VDAC2	Apoptosis	NA	voltage-gated anion channel activity	NA
TIMM22	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMM23	Import & Sorting	NA	protein channel activity	NA
TIMM44	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
COX5A	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
TIMM8A	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMM8B	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
VDAC3	Apoptosis	NA	voltage-gated anion channel activity	NA
TIMM9	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
COX6A1	Electron Transport Chain	NA	cytochrome-c oxidase activity; enzyme regulator activity	NA
VDAC1	Import & Sorting	NA	cation channel activity; porin activity; voltage-gated anion channel activity	NA
TIMMDC1	Import & Sorting	NA	molecular_function	NA
COX6A2	Electron Transport Chain	NA	cytochrome-c oxidase activity; enzyme regulator activity	NA
VDAC2	Import & Sorting	NA	cation channel activity; porin activity; voltage-gated anion channel activity	NA
TMEM11	Mitochondrial Dynamics	NA	molecular_function	NA
COX6B1	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
VDAC3	Import & Sorting	NA	cation channel activity; porin activity; voltage-gated anion channel activity	NA
TMEM70	Electron Transport Chain	NA	molecular_function	NA
COX6B2	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX6C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
YARS2	Translation	NA	ATP binding; RNA binding; tyrosine-tRNA ligase activity	NA
YME1L1	Mitochondrial Dynamics	NA	ATP binding; ATP-dependent peptidase activity; metalloendopeptidase activity	NA
slc17a8	Mitochondrial Carrier	NA	high affinity inorganic phosphate:sodium symporter activity; high-affinity glutamate transmembrane transporter activity; sodium:inorganic phosphate symporter activity; sodium-dependent phosphate transmembrane transporter activity	NA
TOMM22	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TOMM34	Import & Sorting	NA	aryl hydrocarbon receptor binding	NA
TOMM34	Import & Sorting	NA	chaperone binding; protein serine/threonine phosphatase activity	NA
COX7C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX8A	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
AADAT	Amino Acid Metabolism	NA	catalytic activity; pyridoxal phosphate binding	NA
COX8C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
AASS	Amino Acid Metabolism	NA	saccharopine dehydrogenase (NAD+ L-lysine-forming) activity	NA
TOMM40	Import & Sorting	NA	protein channel activity	NA
CPOX	Heme Biosynthesis	NA	coproporphyrinogen oxidase activity	NA
ABAT	Amino Acid Metabolism	NA	4-aminobutyrate transaminase activity; pyridoxal phosphate binding	NA
TOMM40L	Import & Sorting	NA	protein channel activity	NA
CRLS1	Cardiolipin Biosynthesis	NA	cardiolipin synthase activity; CDP-alcohol phosphatidyltransferase activity	NA
TOMM70A	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
ABCA9	Transmembrane Transport	NA	ATP binding; ATPase activity	NA
ABCB6	Import & Sorting	NA	molecular_function	NA
ABCD1	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; transporter activity	NA
ABCD2	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; transporter activity	NA
ABCD3	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; transporter activity	NA
TOMM7	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TRAK1	Mitochondrial Dynamics	NA	kinesin-associated mitochondrial adaptor activity; myosin binding	NA
TRAK2	Mitochondrial Dynamics	NA	kinesin-associated mitochondrial adaptor activity; myosin binding	NA
CYTB	Electron Transport Chain	NA	electron carrier activity; oxidoreductase activity; ubiquinol-cytochrome-c reductase activity	NA
TRIT1	Translation	NA	ATP binding; metal ion binding	NA
Coa1	Electron Transport Chain	NA	RNA binding; structural constituent of ribosome	NA
TSFM	Translation	NA	translation elongation factor activity	NA
D2HGDH	Electron Transport Chain	NA	flavin adenine dinucleotide binding; UDP-N-acetylmuramate dehydrogenase activity	NA
TSPO	Apoptosis	NA	benzodiazepine receptor activity	NA
DAP3	Translation	NA	structural constituent of ribosome	NA
ABCE1	Transmembrane Transport	NA	ATP binding; ATPase activity; iron-sulfur cluster binding; ribonuclease inhibitor activity; ribosomal small subunit binding	NA
TTC19	Electron Transport Chain	NA	  	NA
DARS2	Translation	NA	aspartate-tRNA ligase activity; ATP binding; nucleic acid binding	NA
ABCF2	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; transporter activity	NA
DBT	Amino Acid Metabolism	NA	cofactor binding; dihydrolipoamide branched chain acyltransferase activity; dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity	NA
ACAT1	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
DDX28	Translation	NA	ATP binding; ATP-dependent RNA helicase activity; helicase activity; nucleic acid binding	NA
ACAT2	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
UCP1	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
DHTKD1	Amino Acid Metabolism	NA	oxoglutarate dehydrogenase (succinyl-transferring) activity; thiamine pyrophosphate binding	NA
ACAA2	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
DHX29	Replication & Transcription	NA	ATP binding; ATP-dependent helicase activity; ATP-dependent RNA helicase activity; G-quadruplex RNA binding; helicase activity	NA
ACAT1	Fatty Acid Degradation	NA	acetyl-CoA C-acyltransferase activity	NA
ACAT2	Fatty Acid Degradation	NA	acetyl-CoA C-acyltransferase activity	NA
ACAA2	Fatty Acid Degradation	NA	acetyl-CoA C-acyltransferase activity	NA
ACOX1	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; acyl-CoA oxidase activity; flavin adenine dinucleotide binding	NA
UCP2	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
UCP3	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
DHX29	Translation	NA	ATP binding; ATP-dependent helicase activity; helicase activity; metal ion binding; nucleic acid binding	NA
SLC25A14	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
DLAT	Pyruvate Metabolism	NA	dihydrolipoyllysine-residue acetyltransferase activity	NA
SLC25A30	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
DLD	TCA Cycle	NA	dihydrolipoyl dehydrogenase activity; flavin adenine dinucleotide binding	NA
UQCR10	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity	NA
DLST	TCA Cycle	NA	dihydrolipoyllysine-residue succinyltransferase activity	NA
UQCR11	Electron Transport Chain	NA	electron carrier activity; ubiquinol-cytochrome-c reductase activity	NA
DNA2	Replication & Transcription	NA	5'-flap endonuclease activity; ATP-dependent DNA helicase activity; single-stranded DNA endodeoxyribonuclease activity; single-stranded DNA-dependent ATPase activity	NA
ACOX3	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; acyl-CoA oxidase activity; flavin adenine dinucleotide binding; pristanoyl-CoA oxidase activity	NA
DNAJA3	Apoptosis	NA	ATP binding; heat shock protein binding; patched binding; unfolded protein binding	NA
UQCRC1	Electron Transport Chain	NA	metal ion binding; metalloendopeptidase activity; ubiquinol-cytochrome-c reductase activity	NA
DNAJC15	Import & Sorting	NA	ATPase activator activity	NA
ACSBG2	Fatty Acid Degradation	NA	long-chain fatty acid-CoA ligase activity	NA
PMPCB	Electron Transport Chain	NA	metal ion binding; metalloendopeptidase activity; ubiquinol-cytochrome-c reductase activity	NA
DNAJC19	Import & Sorting	NA	ATPase activator activity	NA
UQCRC2	Electron Transport Chain	NA	metal ion binding; ubiquinol-cytochrome-c reductase activity	NA
DNM1L	Apoptosis	NA	GTP binding; GTPase activity	NA
ACSF2	Fatty Acid Metabolism	NA	fatty-acyl-CoA synthase activity; long-chain fatty acid-CoA ligase activity; luciferin monooxygenase activity	NA
EARS2	Translation	NA	ATP binding; glutamate-tRNA ligase activity; tRNA binding	NA
ACSF3	Fatty Acid Metabolism	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL1	Fatty Acid Biosynthesis	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL6	Fatty Acid Biosynthesis	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL5	Fatty Acid Biosynthesis	NA	long-chain fatty acid-CoA ligase activity	NA
ACADM	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding	NA
ACADS	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding	NA
ACADSB	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding	NA
ACADS	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding; RNA polymerase II transcription cofactor activity	NA
ACADSB	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding; RNA polymerase II transcription cofactor activity	NA
ACADS	Fatty Acid Degradation	NA	flavin adenine dinucleotide binding; short-branched-chain-acyl-CoA dehydrogenase activity	NA
ACADSB	Fatty Acid Degradation	NA	flavin adenine dinucleotide binding; short-branched-chain-acyl-CoA dehydrogenase activity	NA
ACADVL	Fatty Acid Degradation	NA	flavin adenine dinucleotide binding; very-long-chain-acyl-CoA dehydrogenase activity	NA
ACAD9	Fatty Acid Degradation	NA	flavin adenine dinucleotide binding; very-long-chain-acyl-CoA dehydrogenase activity	NA
ECHS1	Fatty Acid Elongation	NA	enoyl-CoA hydratase activity	NA
EEFSEC	Translation	NA	GTP binding; GTPase activity; translation elongation factor activity	NA
ELAC2	Translation	NA	endoribonuclease activity producing 5'-phosphomonoesters	NA
ACSL3	Fatty Acid Degradation	NA	long-chain fatty acid-CoA ligase activity	NA
ENDOG	Replication & Transcription	NA	endodeoxyribonuclease activity; endoribonuclease activity; metal ion binding; nucleic acid binding	NA
ACSL4	Fatty Acid Degradation	NA	long-chain fatty acid-CoA ligase activity	NA
ERAL1	Translation	NA	GTP binding	NA
HSD17B10	Translation	NA	3-hydroxyacyl-CoA dehydrogenase activity; 7-beta-hydroxysteroid dehydrogenase (NADP+) activity; acetoacetyl-CoA reductase activity; estradiol 17-beta-dehydrogenase activity; steroid dehydrogenase activity; testosterone dehydrogenase (NAD+) activity	NA
ACSS3	Fatty Acid Metabolism	NA	acetate-CoA ligase activity	NA
ETFA	Electron Transport Chain	NA	electron carrier activity; flavin adenine dinucleotide binding	NA
HSD17B8	Fatty Acid Biosynthesis	NA	2 4-dienoyl-CoA reductase (NADPH) activity; oxidoreductase activity acting on CH-OH group of donors	NA
ADCK1	Electron Transport Chain	NA	ATP binding; protein kinase activity	NA
ETFB	Electron Transport Chain	NA	electron carrier activity	NA
CBR4	Fatty Acid Biosynthesis	NA	2 4-dienoyl-CoA reductase (NADPH) activity; oxidoreductase activity acting on CH-OH group of donors	NA
ADCK5	Electron Transport Chain	NA	ATP binding; protein kinase activity	NA
FAM162A	Apoptosis	NA	molecular_function	NA
HTRA2	Apoptosis	NA	peptidase activity; serine-type endopeptidase activity	NA
ADHFE1	Pyruvate Metabolism	NA	metal ion binding; oxidoreductase activity	NA
IARS2	Translation	NA	aminoacyl-tRNA editing activity; ATP binding; isoleucine-tRNA ligase activity	NA
C5orf63	Fatty Acid Metabolism	NA	transferase activity transferring acyl groups other than amino-acyl groups	NA
ADO	Amino Acid Metabolism	NA	cysteamine dioxygenase activity	NA
IBA57	Fe-S cluster biosynthesis	NA	aminomethyltransferase activity	NA
C6orf57	Electron Transport Chain	NA	  	NA
ADSL	Nucleotide Metabolism	NA	N6-(1 2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	NA
ICT1	Translation	NA	translation release factor activity	NA
SDHAF4	Electron Transport Chain	NA	  	NA
AGK	Fatty Acid Metabolism	NA	diacylglycerol kinase activity; NAD+ kinase activity	NA
IDH1	TCA Cycle	NA	isocitrate dehydrogenase (NADP+) activity; magnesium ion binding; NAD binding	NA
C6orf57	Electron Transport Chain	NA	molecular_function	NA
AGXT2	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; pyridoxal phosphate binding	NA
IDH2	TCA Cycle	NA	isocitrate dehydrogenase (NADP+) activity; magnesium ion binding; NAD binding	NA
SDHAF4	Electron Transport Chain	NA	molecular_function	NA
C7orf55	Electron Transport Chain	NA	Unknown from fly file  	NA
CA5A	Nitrogen Metabolism	NA	carbonate dehydratase activity	NA
CARKD	Metabolism of Vitamins & Co-Factors	NA	ATP-dependent NAD(P)H-hydrate dehydratase activity; ATP binding	NA
CASP2	Apoptosis	NA	cysteine-type endopeptidase activity; endopeptidase activity; peptidase activator activity involved in apoptotic process; protein binding	NA
ACSF2	Fatty Acid Biosynthesis	NA	4-coumarate-CoA ligase activity	NA
